year,n_messages,n_matches,pct_negative,pct_neutral,pct_positive,mean_sentiment_score,pct_toxic_any,mean_toxicity_score,pct_toxic,pct_severe_toxic,pct_obscene,pct_threat,pct_insult,pct_identity_hate
2016,92810,7758,0.02664583557806271,0.9261286499299645,0.04722551449197285,0.03199020868627988,0.012153862730309235,0.048138199452944466,0.012153862730309235,6.464820601228316e-05,0.004385303307833208,0.00029091692705527424,0.0014653593362784184,0.0002585928240491326
2017,81996,8797,0.026891555685643203,0.930350260988341,0.0427581833260159,0.027473019913694892,0.01072003512366457,0.049019100876732544,0.01072003512366457,4.878286745694912e-05,0.00417093516756915,0.00035367578906288113,0.0015610517586223719,0.00025611005414898286
2018,96940,8741,0.02334433670311533,0.9340313596038787,0.04262430369300598,0.03144091557654524,0.014978337115741695,0.055354899928140286,0.014978337115741695,3.094697751186301e-05,0.005230039199504848,0.0006498865277491232,0.0018877656282236435,0.0003919950484835981
2019,157670,16450,0.023035453795902834,0.9408638295173464,0.03610071668675081,0.024627521976862923,0.015982748779095578,0.0552022761647232,0.015982748779095578,7.610832751950275e-05,0.005879368300881588,0.0005898395382761464,0.0023530157924779604,0.000494704128876768
2020,139281,21710,0.021287900000717973,0.9451253221903921,0.03358677780888994,0.024466851668226847,0.009570580337590914,0.05123230266059159,0.009570580337590914,1.435946037147924e-05,0.0036544826645414667,0.00028718920742958477,0.001227733861761475,7.897703204313582e-05
2021,129441,16226,0.020256333001135652,0.9485788892236617,0.0311647777752026,0.02424115929892076,0.008165882525629437,0.049839973214850106,0.008165882525629437,7.725527460387358e-06,0.0028198175230413854,0.00028584451603433223,0.000733925108736799,0.0002703934611135575
2022,137015,20701,0.019508812903696677,0.9544283472612488,0.026062839835054558,0.02046062246225032,0.005860672189176367,0.04974147494495897,0.005860672189176367,7.298470970331716e-06,0.0017808269167609385,0.00017516330328796117,0.00043060978724957123,0.00010217859358464401
2023,153765,29076,0.015842356843234807,0.9639319741163463,0.02022566904041882,0.01762494329484891,0.004363801905505154,0.05144691287390493,0.004363801905505154,1.30068611192404e-05,0.001398237570318343,0.0001105583195135434,0.0003056612363021494,5.20274444769616e-05
2024,164762,29374,0.018875711632536627,0.958600890982144,0.02252339738531943,0.01765076294234522,0.0067551984073997645,0.05432288859672446,0.0067551984073997645,3.0346803267743774e-05,0.002251732802466588,0.00020635826222065767,0.0009286121799929595,0.00013959529503162137
2025,177857,30087,0.02076387209949566,0.9596698471243752,0.01956628077612914,0.015023762762719148,0.005037755050405663,0.05418899754796114,0.005037755050405663,5.6224944758991775e-06,0.0015068285195409795,0.00016305233980107615,0.0004779120304514301,9.558240609028601e-05
2026,49330,8775,0.02282586661260896,0.9611189945266572,0.016055138860733835,0.01075571758342783,0.004155686195013176,0.05126222404228917,0.004155686195013176,0.0,0.0013784715183458342,0.00012162983985404419,0.0003243462396107845,0.00010135819987837016
