comparison,metric,mean_A,mean_B,n_A,n_B,mannwhitney_u,p_value
pre-pandemic vs pandemic-online,max_toxicity_prob,0.05254033601469886,0.05035735431225659,448580,248818,53425046496.5,7.769957711584085e-193
pre-pandemic vs pandemic-online,sentiment_score,0.02773646256237036,0.025068689306481495,448580,248818,54091066013.0,6.686005821234601e-101
pandemic-online vs post-pandemic-LAN,max_toxicity_prob,0.05035735431225659,0.05249970129803613,248818,682729,77687144737.5,0.0
pandemic-online vs post-pandemic-LAN,sentiment_score,0.025068689306481495,0.017026298162790488,248818,682729,79807934846.0,0.0
dpc-era vs post-dpc,max_toxicity_prob,0.051851441976575374,0.05319222225913822,742315,545714,180025690657.0,0.0
dpc-era vs post-dpc,sentiment_score,0.024964644611192275,0.016164026086408923,742315,545714,186141277033.5,0.0
